Competition,Country,Place Held,Frequency,Homepage,Host,Grade,Other Characteristics,Registeration ,Format 
American Mathematics Competitions (AMC) 8,USA,International ,Annually,https://maa.org/amc-8-information-and-registration/,American Mathematics Competitions (MAA),Grade 9,,By School Only,In Person
American Mathematics Competitions (AMC) 10/12,USA,International ,Annually,https://maa.org/amc-10-12-information-and-registration/,American Mathematics Competitions (MAA),Grades 10-12,,By School or Individually ,In Person
Canada Lynx Math Competition,Canada,International ,Annually,https://cms.math.ca/competitions/clmc/clmc2024/,Canadian Mathematical Society (CMS),Grade 7-11,,By School or Individually ,Hybrid 
Canadian Open Mathematics Challenge,Canada,International ,Annually,https://cms.math.ca/competitions/comc/comc2024/,Canadian Mathematical Society (CMS),Grade 8-11,,By School or Individually ,Hybrid 
Canada Jay Math Competition,Canada,International ,Annually,https://cms.math.ca/competitions/cjmc/cjmc2024/,Canadian Mathematical Society (CMS),Grade 5-8,,By School or Individually ,Hybrid 
CMO Qualifying Repechange,Canada,Nationwide,Annually,https://cms.math.ca/competitions/repechage/,Canadian Mathematical Society (CMS),Grades 10-12,,By Invitation,In Person
Canadian Math Olympaid & Junior Olympaid,Canada,Nationwide,Annually,https://cms.math.ca/competitions/cmo/,Canadian Mathematical Society (CMS),Grades 8-12,,By Invitation ,In Person
Caribou Mathematics Competition,Canada,International ,Bi-Monthly,https://cariboutests.com/,Caribou Contests (founded by Dr. Thomas Wolf),Grades K-12,,By School or Individually ,Online
Euclid Mathematics Contest,Canada,International ,Annually,https://www.cemc.uwaterloo.ca/contests/euclid.html,"Centre for Education in Mathematics and Computing (CEMC), University of Waterloo",Grades 7-12 ,,By School Only,In Person
Gauss Mathematics Contest,Canada,International ,Annually,https://www.cemc.uwaterloo.ca/contests/gauss.html,"Centre for Education in Mathematics and Computing (CEMC), University of Waterloo",Grades 7-8,,By School Only,In Person
Canadian Computing Challenge (CCC),Canada,International ,Annually,https://www.cemc.uwaterloo.ca/contests/ccc-cco.html,"Centre for Education in Mathematics and Computing (CEMC), University of Waterloo",Grades 8 -12,,By School Only,In Person
Beaver Computing Challenge,Canada,International ,Annually,https://www.cemc.uwaterloo.ca/contests/bcc.html,"Centre for Education in Mathematics and Computing (CEMC), University of Waterloo",Grades 5 -10 ,,By School Only,In Person
Pascal Contest,Canada,International ,Annually,https://www.cemc.uwaterloo.ca/contests/pcf.html,"Centre for Education in Mathematics and Computing (CEMC), University of Waterloo",Grade 9,,By School Only,In Person
