Platform Name,Website URL,Subject(s) Covered,Grade Levels,Delivery Format,Type of Learning,For-Credit in BC (Yes/No),Registration Method,Accreditation,Free or Paid,Cost Range (if paid),Enrollment Period,Learning Mode,Learning Pathways Supported,Specialized Focus,Platform Type,BC Curriculum Alignment (Yes/No),Certifications Available (Yes/No),Location (if In-Person),Contact Information
Abbotsford Virtual School,https://www.avs33.ca,Various K-12 Subjects,K-12,Online,"Homeschooling Support, Enrichment, Full-Time Schooling",Yes,As per BC online learning policy,Yes,As per funding policy,As per funding policy,Ongoing,Self-paced,BC Curriculum,BC Curriculum,Public School,Yes,Yes,N/A,info@avs33.ca
Academy of Math & English,https://academyofmathandenglish.com,Math and English,K-12,In-Person,Tutoring,No,Direct,No,Paid,Varies by course,Ongoing,Instructor-led,Math and English,Math and English Tutoring,Private Learning Academy,No,No,Various Locations in BC,info@academyofmathandenglish.com
Anchor Academy,https://www.anchoracademy.org,Various K-12 Subjects,K-12,Online,"Homeschooling Support, Enrichment, Full-Time Schooling",Yes,As per BC online learning policy,Yes,Check with school ,Check with school ,Check with school ,Check with school ,BC Curriculum,BC Curriculum,Independent School ,Yes,Yes,N/A,info@anchoracademy.org
APEX,https://apexonline.ca,Various K-12 Subjects,K-12,Online,"Homeschooling Support, Full-Time Schooling",Yes,As per BC online learning policy,Yes,As per funding policy,As per funding policy,Ongoing,Self-paced,BC Curriculum,BC Curriculum,Public School,Yes,Yes,N/A,info@apexonline.ca
Art of Problem Solving (AoPS),https://artofproblemsolving.com,"Math, Problem-solving",12-Feb,"Online, Books","Enrichment, Advanced Math, Problem Solving",No,Direct,No,Paid,Varies by course,Ongoing,"Self-paced, Instructor-led","Advanced Math, Gifted Education","Gifted Education, Competitive Math",Private Learning Academy,No,Yes,N/A,support@artofproblemsolving.com
ArtSpark,https://www.artspark.ca,"Arts, Creative Workshops",K-12,In-Person and Online,Workshops,No,Direct,No,Paid,Varies by course,Ongoing,Instructor-led,Creative Arts,Arts,Private Learning Academy,No,No,Various Locations in BC,info@artspark.ca
ASCEND Online School,https://ascendonline.ca,Various K-12 Subjects,K-12,Online,"Homeschooling Support, Full-Time Schooling",Yes,As per BC online learning policy,Yes,Check with school ,Check with school ,Check with school ,Check with school ,BC Curriculum,BC Curriculum,Independent School ,Yes,Yes,N/A,info@ascendonline.ca
Beast Academy,https://beastacademy.com,"Math (Grades 2-5), Problem-solving, Critical Thinking",Grades 2-5,"Online, Books","Enrichment, Self-Paced, Tutoring Support",No,Direct,No,Paid,$15/month or $96/year,Ongoing,Self-paced,"Advanced Math, Critical Thinking","Gifted Education, Problem Solving",Private Learning Academy,No,No,N/A,support@beastacademy.com
Beaty Biodiversity Museum (UBC),https://beatymuseum.ubc.ca,"Science, Biodiversity, Nature Exploration",K-12,In-person,"Workshops, Nature Exploration",No,Direct,No,Paid,Varies by program,Ongoing,Instructor-led,"Science, Biodiversity","Biodiversity, Nature",Biodiversity Museum,No,No,"UBC, Vancouver, BC",info@beatymuseum.ubc.ca
Brilliant.org,https://www.brilliant.org,"Math, Science, Engineering, Computer Science",K-12 and beyond,Online,"Enrichment, Self-paced, Interactive",No,Direct,No,Paid (with some free lessons),Varies by course,Ongoing,Self-paced,"Advanced Math, Critical Thinking","Problem-solving, Logical Reasoning","Interactive Learning, Enrichment",No,No,N/A,support@brilliant.org
Bulkley Valley Christian Online School (BVCOS),https://www.bvcos.ca,Various K-12 Subjects,K-12,Online,"Homeschooling Support, Full-Time Schooling",Yes,As per BC online learning policy,Yes,Check with school ,Check with school ,Check with school ,Check with school ,BC Curriculum,BC Curriculum,Independent School ,Yes,Yes,N/A,info@bvcos.ca
Burnaby Online,https://online.burnabyschools.ca,Various K-12 Subjects,K-12,Online,"Homeschooling Support, Full-Time Schooling",Yes,As per BC online learning policy,Yes,As per funding policy,As per funding policy,Ongoing,Self-paced,BC Curriculum,BC Curriculum,Public School,Yes,Yes,N/A,info@burnabyonline.ca
Burnaby Village Museum (BC),https://www.burnabyvillagemuseum.ca,"History, Hands-on learning",K-12,In-person,"Workshops, History Programs",No,Direct,No,Paid,Varies by program,Ongoing,Instructor-led,"History, Experiential Learning","History, BC Cultural Focus",History Museum,No,No,"Burnaby, BC",info@burnabyvillagemuseum.ca
Canada Learning Code,https://www.canadalearningcode.ca,"Coding, Digital Literacy",K-12,"Online, In-Person","Workshops, Self-Paced",No,Direct,No,Free,Free,Ongoing,"Self-Paced, Workshops",STEM-focused,Coding for K-12,Non-profit,No,No,Various in Canada,support@canadalearningcode.ca
CHEK ABC,https://www.chekabc.ca,Various K-12 Subjects,K-12,Online,"Homeschooling Support, Full-Time Schooling",Yes,As per BC online learning policy,Yes,Check with school ,Check with school ,Check with school ,Check with school ,BC Curriculum,BC Curriculum,Independent School ,Yes,Yes,N/A,info@chekabc.ca
Christian Homelearners eStreams (CHeS),https://www.ches.ca,Various K-12 Subjects,K-12,Online,"Homeschooling Support, Full-Time Schooling",Yes,As per BC online learning policy,Yes,Check with school ,Check with school ,Check with school ,Check with school ,BC Curriculum,BC Curriculum,Independent School ,Yes,Yes,N/A,info@ches.ca
Christianne’s Lyceum of Literature and Art,https://www.christianneslyceum.com,"Literature, Art, Storytelling",K-12,In-Person,"Workshops, In-Person Classes",No,Direct,No,Paid,Varies by course,Ongoing,Instructor-Led,Literature and Art,Storytelling and Literature,Private Learning Academy,No,No,"Vancouver, BC",info@christianneslyceum.com
Coast Mountain Academy,https://www.coastmountainacademy.ca,"Adventure-based learning, Outdoor Education",K-12,In-person,Adventure-based learning,No,Direct,No,Paid,Varies by program,Ongoing,Instructor-led,Adventure-based,Outdoor education,Private School,No,No,"Squamish, BC",info@coastmountainacademy.ca
Code.org,https://www.code.org,Coding for K-12,K-12,Online,Self-Paced,No,Direct,No,Free,Free,Ongoing,Self-Paced,STEM-focused,Coding for K-12,Non-profit,No,No,N/A,support@code.org
Coquitlam Open Learning,https://www.coquitlamopenlearning.ca,Various K-12 Subjects,K-12,Online,"Full-Time Schooling, Enrichment",Yes,As per BC online learning policy,Yes,As per funding policy,As per funding policy,Ongoing,Self-paced,BC Curriculum,BC Curriculum,Public School,Yes,Yes,N/A,info@coquitlamopenlearning.ca
Coursera,https://www.coursera.org,"Various (Math, Science, Programming, Humanities)","Various (K-12, Higher Education)",Online,"Self-Paced, Instructor-Led",Depends on Course,Direct,Depends on Course,Free and Paid,Varies by course,Ongoing,"Self-Paced, Instructor-led",Various,Varies,MOOC,Varies by Course,Yes,N/A,support@coursera.org
CS50 by Harvard University,https://cs50.harvard.edu,"Computer Science, Introduction to Programming",High School/University,Online,"Self-Paced, Certificate Option",No,Direct,No,Free (with paid certificate),Free or $90 for certificate,Ongoing,Self-Paced,Experiential,Project-Based Learning,MOOC,No,Yes,N/A,cs50@harvard.edu
EBUS Academy,https://www.ebus.ca,Various K-12 Subjects,K-12,Online,"Full-Time Schooling, Enrichment",Yes,As per BC online learning policy,Yes,As per funding policy,As per funding policy,Ongoing,Self-paced,BC Curriculum,BC Curriculum,Public School,Yes,Yes,N/A,info@ebus.ca
École Virtuelle,https://ecolevirtuelle.csf.bc.ca,Various K-12 Subjects,K-12,Online,"Full-Time Schooling, Enrichment",Yes,As per BC online learning policy,Yes,As per funding policy,As per funding policy,Ongoing,Self-paced,BC Curriculum,BC Curriculum,Public School,Yes,Yes,N/A,info@ecolevirtuelle.ca
