Resource Type,Resource Name,Subject/Criteria,Age Group,Grades,Organizer,Organizer Location,Eligibility,Brief Description,Link to Resource,Minimum Grade,Maximum Grade,Organizer Country,Area,Broad Area ,RESOURCE CATEGORY,SNO.
Scholarship,BC Excellence Scholarships,Leadership,17-18,12,British Columbia Ministry of Education,British Columbia,"Demonstrated community service, leadership, and commitment to their studies.","Scholarships awarded to students who demonstrate excellence in academics, leadership, and community service.",https://www2.gov.bc.ca/gov/content/education-training/k-12/support/scholarships/provincial-scholarships/bc-excellence-scholarships,12,12,Canada,Leadership,"Equity & Access- Scholarships for Women and Girls, Indigenous Student Support, Disability & Accessibility Support, Cultural & Heritage Support Programs, LGBTQ+ Student Resources, Financial Need Scholarships, Scholarships for Black Students",FINANCIAL AWARDS AND SUPPORT,1
Scholarship,BC Achievement Scholarships,General Academic Achievement,17-18,12,British Columbia Ministry of Education,British Columbia,Top academic students in the province.,Awards for students with the highest academic achievement in the province.,https://www2.gov.bc.ca/gov/content/education-training/k-12/support/scholarships/provincial-scholarships/bc-achievement-scholarships,12,12,Canada,Academic Achievement,"Equity & Access- Scholarships for Women and Girls, Indigenous Student Support, Disability & Accessibility Support, Cultural & Heritage Support Programs, LGBTQ+ Student Resources, Financial Need Scholarships, Scholarships for Black Students",FINANCIAL AWARDS AND SUPPORT,2
Scholarship,Pathway to Teacher Education,Education,17-18,12,British Columbia Ministry of Education,British Columbia,Graduating high school students entering teacher education programs.,Financial support for students pursuing teacher education programs in BC.,https://www2.gov.bc.ca/gov/content/education-training/k-12/support/scholarships/provincial-scholarships/pathway-to-teacher-education-scholarship,12,12,Canada,Education,"Equity & Access- Scholarships for Women and Girls, Indigenous Student Support, Disability & Accessibility Support, Cultural & Heritage Support Programs, LGBTQ+ Student Resources, Financial Need Scholarships, Scholarships for Black Students",FINANCIAL AWARDS AND SUPPORT,3
Scholarship,UBC Presidential Scholars Award Program,General Academic Achievement,17-18,12,University of British Columbia,British Columbia,High academic achievement and extracurricular involvement.,Scholarships for high-achieving students entering UBC.,https://you.ubc.ca/financial-planning/scholarships-awards-canadian-students/presidential-scholars/,12,12,Canada,Academic Achievement,"Equity & Access- Scholarships for Women and Girls, Indigenous Student Support, Disability & Accessibility Support, Cultural & Heritage Support Programs, LGBTQ+ Student Resources, Financial Need Scholarships, Scholarships for Black Students",FINANCIAL AWARDS AND SUPPORT,4
Scholarship,SFU Entrance Scholarships,General Academic Achievement,17-18,12,Simon Fraser University,British Columbia,"High academic achievement, financial need, and extracurricular involvement.","Entrance scholarships for high-achieving students entering SFU, with emphasis on community involvement and leadership.",https://www.sfu.ca/students/financialaid/entrance.html,12,12,Canada,Academic Achievement,"Equity & Access- Scholarships for Women and Girls, Indigenous Student Support, Disability & Accessibility Support, Cultural & Heritage Support Programs, LGBTQ+ Student Resources, Financial Need Scholarships, Scholarships for Black Students",FINANCIAL AWARDS AND SUPPORT,5
Scholarship,UVic Excellence Scholarships,General Academic Achievement,17-18,12,University of Victoria,British Columbia,High academic achievement and leadership qualities.,Scholarships awarded to students entering UVic with high academic achievements.,https://www.uvic.ca/registrar/safa/entrance-scholarships/,12,12,Canada,Academic Achievement,"Equity & Access- Scholarships for Women and Girls, Indigenous Student Support, Disability & Accessibility Support, Cultural & Heritage Support Programs, LGBTQ+ Student Resources, Financial Need Scholarships, Scholarships for Black Students",FINANCIAL AWARDS AND SUPPORT,6
Scholarship,KPU Entrance Awards,General Academic Achievement,17-18,12,Kwantlen Polytechnic University,British Columbia,High school graduates with a minimum GPA requirement.,Entrance awards for high school graduates entering KPU.,https://www.kpu.ca/awards/entrance-scholarships,12,12,Canada,Academic Achievement,"Equity & Access- Scholarships for Women and Girls, Indigenous Student Support, Disability & Accessibility Support, Cultural & Heritage Support Programs, LGBTQ+ Student Resources, Financial Need Scholarships, Scholarships for Black Students",FINANCIAL AWARDS AND SUPPORT,7
Scholarship,UBC Centennial Scholars Entrance Award,General Academic Achievement,17-18,12,University of British Columbia,British Columbia,Students demonstrating financial need and community involvement.,Entrance award for students with financial need and community engagement entering UBC.,https://you.ubc.ca/financial-planning/scholarships-awards-canadian-students/centennial-scholars/,12,12,Canada,Academic Achievement,"Equity & Access- Scholarships for Women and Girls, Indigenous Student Support, Disability & Accessibility Support, Cultural & Heritage Support Programs, LGBTQ+ Student Resources, Financial Need Scholarships, Scholarships for Black Students",FINANCIAL AWARDS AND SUPPORT,8
Waiver Program,SFU Youth in Care Tuition Waiver Program,Financial Literacy,17-18,12,Simon Fraser University,British Columbia,Current or former youth in care entering SFU.,Tuition waiver for youth in care to support their education at SFU.,https://www.sfu.ca/students/financialaid/entrance/youthcare.html,12,12,Canada,Financial Support,"Equity & Access- Scholarships for Women and Girls, Indigenous Student Support, Disability & Accessibility Support, Cultural & Heritage Support Programs, LGBTQ+ Student Resources, Financial Need Scholarships, Scholarships for Black Students",FINANCIAL AWARDS AND SUPPORT,9
Scholarship ,Surrey Schools Scholarship Program,General Academic Achievement,17-18,12,Surrey Schools,British Columbia,Graduating students in the Surrey School District with high academic standing.,Scholarship program for graduating students in Surrey School District.,https://www.surreyschools.ca/page/2090/scholarships-bursaries,12,12,Canada,Academic Achievement,"Equity & Access- Scholarships for Women and Girls, Indigenous Student Support, Disability & Accessibility Support, Cultural & Heritage Support Programs, LGBTQ+ Student Resources, Financial Need Scholarships, Scholarships for Black Students",FINANCIAL AWARDS AND SUPPORT,10
