Resource Name,Description,Author/Creator,Subject,Specific Topic,Format,Type,Engagement Type,Target Age Group,Grade Level,Language,Accessibility Options,Learning Outcomes,Curriculum-Aligned,Assessments,Project-Based Learning,Device Compatibility,Offline Access,Course Duration,Content Rating,Subscription Requirement,Keywords/Tags,URL/Platform
3Blue1Brown,Visually intuitive lessons on math and physics,Grant Sanderson,"Math, Physics",Mathematics and physics,Video Lessons,Coursework,Visualization,12-18 years,High School,English,Closed Captions,Mathematical Understanding,No,No,No,"Mobile, Desktop",No,Varies,5/5,Free,"Math, Physics",https://www.3blue1brown.com/
3Blue1Brown,"Visually intuitive lessons on math, making abstract concepts more approachable",Grant Sanderson,Math,"Advanced Math Concepts, Visual Intuition",Video Lessons,Coursework,"Visualization, Explanation",12-18 years,High School,English,Closed Captions,Advanced Math Intuition,No,No,No,"Mobile, Desktop",No,Varies,05-May,Free,"Math, Visual Learning",https://www.3blue1brown.com/
3Blue1Brown,Teaches higher-level math and touches on algorithms and AI,Grant Sanderson,"Math, Technology","Algorithms, Artificial Intelligence, Math Concepts",Video Lessons,Coursework,"Visualization, Explanation",15-18 years,"High School, College Prep",English,Closed Captions,Mathematical and Technological Understanding,No,No,No,"Mobile, Desktop",No,Varies,5/5,Free,"Math, AI, Algorithms",https://www.3blue1brown.com/
Art for Kids Hub (YouTube),Drawing tutorials for children of all ages,Art for Kids Hub,Art,Drawing Tutorials,Video Lessons,Coursework,Drawing Tutorials,5-12 years,"Elementary, Middle School",English,No,Drawing Techniques,No,No,Yes,"Mobile, Desktop",No,Varies,5/5,Free,"Art, Kids Drawing",https://www.youtube.com/user/ArtforKidsHub
Art of Problem Solving (AoPS),Focuses on higher-level math skills and problem-solving for advanced students,AoPS,Math,"Advanced Math, Problem Solving","Interactive Lessons, Problems",Coursework,"Problem Solving, Interactive",12-18 years,"Middle, High School",English,No,"Advanced Math Skills, Problem Solving",Yes,No,No,"Mobile, Desktop",No,Varies,05-May,Free with premium options,"Math, STEM, Problem Solving",https://artofproblemsolving.com/
BBC Bitesize (History),Engaging lessons on world history and social studies for different age groups,BBC,"History, Social Studies","World History, Social Studies","Video Lessons, Articles",Coursework,"Interactive Lessons, Videos",8-18 years,K-12,English,Closed Captions,"Historical Knowledge, Critical Thinking",Yes,Yes,No,"Mobile, Desktop",No,Varies,5/5,Free,"History, Social Studies",https://www.bbc.co.uk/bitesize/subjects/zk26n39
BrainPOP,Animated educational videos covering various subjects,BrainPOP,Various Subjects,"Science, Social Studies, English, Math, Arts",Animated Videos,"Coursework, Entertainment",Interactive Videos,5-15 years,K-8,English,Closed Captions,Knowledge in Various Subjects,Yes,Yes,No,"Mobile, Desktop",No,Varies,5/5,Free with premium options,"Science, Social Studies, Math",https://www.brainpop.com/
Chrome Music Lab,"Fun, interactive experiments for learning music fundamentals",Google,Music,Music Fundamentals,Interactive Tools,"Coursework, Entertainment",Music Experiments,5-18 years,K-12,English,No,Music Fundamentals,No,No,No,"Mobile, Desktop",No,Varies,5/5,Free,"Music, Interactive",https://musiclab.chromeexperiments.com/
Code Wars,Offers real coding challenges in multiple programming languages,Code Wars,"Computer Science, Programming",Real Coding Challenges,"Challenges, Coding Problems",Coursework,"Problem Solving, Coding Challenges",13+ years,High School,English,No,Advanced Coding Skills,No,No,No,"Mobile, Desktop",No,Varies,5/5,Free,"Advanced Coding, Challenges",https://www.codewars.com/
Code.org,Offers free coding tutorials for all ages with beginner-friendly resources,Code.org,"Technology, Coding","Coding, Programming, Computer Science",Interactive Lessons,Coursework,"Interactive Coding, Exercises",8-18 years,K-12,English,Closed Captions,"Coding Skills, Computational Thinking",Yes,Yes,Yes,"Mobile, Desktop",No,Varies,5/5,Free,"Coding, Technology, STEM",https://code.org/
